ASIN,Product Title,Product URL,Review No.,Review URL,Reviewer Name,Reviewer Profile,Review Rating,Review Date,Review Title,Review Description,Helpful Vote,Verified Purchase
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,11,https://www.amazon.com/gp/customer-reviews/R26HY325Z1WBZ1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,jianhua Tse,https://www.amazon.com/gp/profile/amzn1.account.AH6HE2DJSBRYUCE2K6ZCC262GMBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2.0 out of 5 stars,"Reviewed in the United States on August 29, 2020",The true description of the product,"I was very disappointed. I was cheated again and advertised that the battery of the mobile phone can be used for a whole day, but I lost two-thirds of the battery in only three hours this morning. Very disappointed!",36 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,12,https://www.amazon.com/gp/customer-reviews/RQLSVLK48RXCC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Smitty,https://www.amazon.com/gp/profile/amzn1.account.AE4JZEDRNJGX4HTLGPG4PXGTYZIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on September 14, 2020",Received a used old phone . Hopefully you have better luck then me.,Received a used phone . Very disappointed!!,33 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,13,https://www.amazon.com/gp/customer-reviews/R1XGCG40A7877X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Joseph F.,https://www.amazon.com/gp/profile/amzn1.account.AH55ZCU2MIG5HQJZ4XFPEIQXMFGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on September 6, 2020",Extremely slow performance,"I'm upgrading from a US (at & t) note 10+I play a silly game with not much with graphics, but I did notice a huge stutter at some points. Then just browsing and scrolling pages it is not smooth when you go slow. After all that I ran geekbench AND SCORED TERRIBLE!!!! WTH.... I'll try some different things and update if needed.  ..",31 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,14,https://www.amazon.com/gp/customer-reviews/R24MH3QI944ZZW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Alfredo Rodriguez,https://www.amazon.com/gp/profile/amzn1.account.AHENHNSBF2Y62RFCXOIR7W4QFTGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4.0 out of 5 stars,"Reviewed in the United States on September 14, 2020",Though it was better quality,"This was the box I received my phone. Paying this much for a phone and to be packaged this way and the transit isn't always a smith ride. Luckily it wasn't damaged but the back of the phone feels like cheap plastic, I thought the ultra was supposed to have a glass back. Not satisfied with the product I received after paying as much. It is a good phone but was expecting it to be so much more.",23 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,15,https://www.amazon.com/gp/customer-reviews/RJ708JCO4XK2W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,EJ Zeng,https://www.amazon.com/gp/profile/amzn1.account.AGVJST7CASCOH7EWNENJM6VR77LA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on October 24, 2020","Do not buy, there are used phone, Not New phone","Your browser does not support HTML5 video.


   Unboxing and the phone seen are used phone , is not new phone i have video to show the phone box have been open , and have other peoples fingerprints on the phone screens, im so disappointed it, pay 1200$on prime and receive it used phone and been opened by other people.",13 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,16,https://www.amazon.com/gp/customer-reviews/R1XTO3R7R5THP0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Toystotech,https://www.amazon.com/gp/profile/amzn1.account.AEBODUCKM3V6UUQQRK2IBVDWSUIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on September 25, 2020",WOW! This phone is amazing!,Amazons Instant shipping came through  Not only is the phone amazing but i needed it over night! And amazon Came through!  This is the best device I have ever owned I sat down last night setting it up! Everything is just smooth and works.. No glitches or hiccups.. This is a Grand Slam FROM SAMSUNG!!!!!!!!!!!!!!!!!!!!! UPDATE 10/22/20 MY original review still stands  side by side with the iPhone 12 pro plus  This phone is still years ahead of apple  I love the new Iphone its beautiful. But spec for spec  This phone out performed it in so many categories.... There just not there yet And truth be told I actually wish they were!  Its like the USS Enterprise compared to a WWII Battle ship .. The Battle ship will always be Tried and true and formidable  in battle but it doesn't have a warp drive!,11 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,17,https://www.amazon.com/gp/customer-reviews/RQS7D7UCNQWOJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,DiamondPilot,https://www.amazon.com/gp/profile/amzn1.account.AH7FSJW2MFUKAHRO4BJ56RLIJX7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4.0 out of 5 stars,"Reviewed in the United States on October 15, 2020","Has Green Tint Problem, found a good workaround better than WB adjustment","I hadn't heard about the green tint issue until after I received my phone, immediately noticed the horrible green cast, and googled it. Yep, it seems to be a widespread issue in the Note 20 Ultra.Adjusting the Green slider all the way down didn't completely eliminate the issue. White balance was more neutral, but flesh tones were horrendous when watching movies.I was going to return the phone it was so off-putting, but I found a better workaround.There is an accessibility feature apparently meant for people who have difficulty seeing color accurately due to some physical impairment. This feature also happens to work for a phone/panel combo that cannot display color accurately as well.Go to Settings -> Accessibility -> Visibility Enhancements ->Color Adjustment ->Personalized Color.There will be a circle and a bunch of dots of various colors. You pick the color that appears nearest to the tint of the prior color in the circle. Repeat for all the dots. When you are done with all of the dots, the device will calibrate the screen accordingly, and the results are a huge improvement.This is also excellent for people who have cataracts or who have artificial intraocular lenses, as both of those things affect the color balance you perceive, and this feature compensates for both your eyes and the phone's display inaccuracies.Battery life doesn't seem to be as good as advertised. it drops at a rate that seems similar to my 3 year old Galaxy S8, and the S8 still has the original battery.Camera is much improved, stereo sound from onboard speakers is very good.",7 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,18,https://www.amazon.com/gp/customer-reviews/R3UBHZD49JXAWH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Yacine,https://www.amazon.com/gp/profile/amzn1.account.AEU62HZ3LYWRGOY5UFZS6GQJNQEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on August 26, 2020",Bad deal,not like expected,14 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,19,https://www.amazon.com/gp/customer-reviews/R2OAX9XRKLUDFR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,ViLo,https://www.amazon.com/gp/profile/amzn1.account.AFM7D2H5LRVJUVMGLUUS5MNYR5WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4.0 out of 5 stars,"Reviewed in the United States on October 8, 2020",I like this phone but.....,"Finger print reader the worst ever, my Motorola Stylus beats it by 1000 miles.Bluetooth  great.Great screen and screen size.Battery  life with normal  use..My normal:I use my phone to send proposals and invoices, search for materials,  Amazon,  Facebook  marketplace,  texts calls, emails  so far it has been great.Update coming.",11 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,20,https://www.amazon.com/gp/customer-reviews/R9JAOKAA57K12/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Cry dante ,https://www.amazon.com/gp/profile/amzn1.account.AGQ6PA2ROVKU5EHR4TXDCWVBXIAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on August 23, 2020",Note 20 ultra 5G,Fantastic 😍😍i am in love with this beautiful phone🥳🥳🥳,17 people found this helpful,Yes
,,,
